entity,sentence,paragraph,sentence_original,label,class_ID
web services,zur Muehlen et al . examined the development of process management standards in the context of workflow development based on web services .,". zur Muehlen et al. examined the development of process management standards in the context of workflow development based on web services. They investigated two opposing types of standards: those based on SOAP, with tightly coupled designs similar to remote procedure calls, and those based on REST, with loosely coupled designs similar to the navigating of web links. In the context of SOAP versus REST, the authors illustrated the standardization process, clarified the technical underpinnings of the conflict, and analyzed the interests of stakeholders. ",zur Muehlen et al. examined the development of process management standards in the context of workflow development based on web services.,related_work,2
process management,zur Muehlen et al . examined the development of process management standards in the context of workflow development based on web services .,". zur Muehlen et al. examined the development of process management standards in the context of workflow development based on web services. They investigated two opposing types of standards: those based on SOAP, with tightly coupled designs similar to remote procedure calls, and those based on REST, with loosely coupled designs similar to the navigating of web links. In the context of SOAP versus REST, the authors illustrated the standardization process, clarified the technical underpinnings of the conflict, and analyzed the interests of stakeholders. ",zur Muehlen et al. examined the development of process management standards in the context of workflow development based on web services.,related_work,2
CIO,"zooming in on the two directions of understanding and their differential effects , our study shows that it is the chief information officer 's understanding of the chief executive officer - not the chief executive officer 's understanding of the chief information officer - that matters for improving and strengthening collaboration quality .","zooming in on the two directions of understanding and their differential effects, our study shows that it is the CIO's understanding of the CEO-not the CEO's understanding of the CIO-that matters for improving and strengthening collaboration quality. As such, our study is the first to highlight the relevance of the conceptual distinction into an active and passive form of understanding and its crucial implications for effective social alignment. Third, and more generally, our study contributes to interpersonal relations research by combining two hitherto largely separately applied theoretical models of intra-/ interpersonal perceptions and interdependence. In so doing, we are able to gain a more comprehensive picture of the bilateral nature and effects of CEO-CIO understanding, which would not be possible by focusing on either model in isolation. ","zooming in on the two directions of understanding and their differential effects, our study shows that it is the CIO's understanding of the CEO-not the CEO's understanding of the CIO-that matters for improving and strengthening collaboration quality.",belongs_to_article,1
online survey,"zoomeRaNG GeNeRated a RaNdom set of 1,200 sales / marketing managers employed in high - tech firms , who were then invited to complete the online survey .","zoomeRaNG GeNeRated a RaNdom set of 1,200 sales/marketing managers employed in high-tech firms, who were then invited to complete the online survey. Of these 1,200, we received 188 usable responses. 4 the demographics of our sample reveal that just over half were female (60 percent), middle aged (mean = 45 years), and well-educated (95 percent had at least some college experience). Respondents' average organizational tenure was 8.3 years, with an average of 5.1 years in their current position. they were highly active in formulation of marketing/sales policies for their firms at the time of the study (mean = 4.29 on a 5-point scale, with 5 = ""very active""). thus, the respondents were highly qualified to answer the questions. the median firm size was 400 employees, and the average firm age was 36.5 years. Our second survey was also deployed through Zoomerang. Of the 188 usable respondents from survey one, a total of 108 individuals completed the second survey for an effective response rate of 60 percent. ","zoomeRaNG GeNeRated a RaNdom set of 1,200 sales/marketing managers employed in high-tech firms, who were then invited to complete the online survey.",belongs_to_article,1
marketing,"zoomeRaNG GeNeRated a RaNdom set of 1,200 sales / marketing managers employed in high - tech firms , who were then invited to complete the online survey .","zoomeRaNG GeNeRated a RaNdom set of 1,200 sales/marketing managers employed in high-tech firms, who were then invited to complete the online survey. Of these 1,200, we received 188 usable responses. 4 the demographics of our sample reveal that just over half were female (60 percent), middle aged (mean = 45 years), and well-educated (95 percent had at least some college experience). Respondents' average organizational tenure was 8.3 years, with an average of 5.1 years in their current position. they were highly active in formulation of marketing/sales policies for their firms at the time of the study (mean = 4.29 on a 5-point scale, with 5 = ""very active""). thus, the respondents were highly qualified to answer the questions. the median firm size was 400 employees, and the average firm age was 36.5 years. Our second survey was also deployed through Zoomerang. Of the 188 usable respondents from survey one, a total of 108 individuals completed the second survey for an effective response rate of 60 percent. ","zoomeRaNG GeNeRated a RaNdom set of 1,200 sales/marketing managers employed in high-tech firms, who were then invited to complete the online survey.",belongs_to_article,1
virtual teams,"zones , organizational and national cultures , work practices , and technology all present specific challenges to people working in virtual teams .","zones, organizational and national cultures, work practices, and technology all present specific challenges to people working in virtual teams. For example, several empirical studies show that building trust across distance is difficult for distributed team members with no prior relationships (Jarvenpaa & Leidner, 1999; Paul & McDaniel, 2004; Zolin et al., 2004) and that team members are likely to base attributions about teammates on scant evidence (Cramton, 2001) . Also, temporal discontinuities arising from differences in time zones produce diverging perceptions of time and may reflect differences in team members' value systems (Saunders et al., 2004) . ","zones, organizational and national cultures, work practices, and technology all present specific challenges to people working in virtual teams.",background_information,3
national cultures,"zones , organizational and national cultures , work practices , and technology all present specific challenges to people working in virtual teams .","zones, organizational and national cultures, work practices, and technology all present specific challenges to people working in virtual teams. For example, several empirical studies show that building trust across distance is difficult for distributed team members with no prior relationships (Jarvenpaa & Leidner, 1999; Paul & McDaniel, 2004; Zolin et al., 2004) and that team members are likely to base attributions about teammates on scant evidence (Cramton, 2001) . Also, temporal discontinuities arising from differences in time zones produce diverging perceptions of time and may reflect differences in team members' value systems (Saunders et al., 2004) . ","zones, organizational and national cultures, work practices, and technology all present specific challenges to people working in virtual teams.",background_information,3
Internet,"zhao et al . [ 56 ] utilized nine years of data to calculate "" rate of Internet diffusion "" based on the logarithmic difference in Internet users per 1,000 .","Some studies are able to measure technology at two time points, yielding a diffusion rate, which indicates the rate of change [3, 28, 56]. kiiski and Pohjola [28] defined Internet diffusion as the logarithmic difference in Internet hosts per capita during a five-year period. Baliamoune-lutz [3] calculated two-year diffusion per capita of cell phones, Internet hosts, Internet users, and Pcs. zhao et al. [56] utilized nine years of data to calculate ""rate of Internet diffusion"" based on the logarithmic difference in Internet users per 1,000. Ono and zavodny [35] analyzed the diffusion of home computer ownership and number of Internet users per 100 people. Because the present study utilizes cross-sectional data, the definition of technology utilization resembles those in the nondiffusion studies [12, 39, 42] . However, it also resembles single time point constructs from the studies with diffusion indicators [3, 28, 35, 56]. ","zhao et al. [56] utilized nine years of data to calculate ""rate of Internet diffusion"" based on the logarithmic difference in Internet users per 1,000.",related_work,2
Internet diffusion,"zhao et al . [ 56 ] utilized nine years of data to calculate "" rate of Internet diffusion "" based on the logarithmic difference in Internet users per 1,000 .","Some studies are able to measure technology at two time points, yielding a diffusion rate, which indicates the rate of change [3, 28, 56]. kiiski and Pohjola [28] defined Internet diffusion as the logarithmic difference in Internet hosts per capita during a five-year period. Baliamoune-lutz [3] calculated two-year diffusion per capita of cell phones, Internet hosts, Internet users, and Pcs. zhao et al. [56] utilized nine years of data to calculate ""rate of Internet diffusion"" based on the logarithmic difference in Internet users per 1,000. Ono and zavodny [35] analyzed the diffusion of home computer ownership and number of Internet users per 100 people. Because the present study utilizes cross-sectional data, the definition of technology utilization resembles those in the nondiffusion studies [12, 39, 42] . However, it also resembles single time point constructs from the studies with diffusion indicators [3, 28, 35, 56]. ","zhao et al. [56] utilized nine years of data to calculate ""rate of Internet diffusion"" based on the logarithmic difference in Internet users per 1,000.",related_work,2
public goods,"z - Tree would have been useful for programming simpler settings , such as a standard public goods game , but for the crowdfunding setting we wanted to examine , along with physiological measures , Brownie turned out to be the better choice .","It would have been easier to find someone to program for z-Tree, especially for simpler experiments, but not for programming our experiment, which would have been a bigger challenge. z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice. In addition, on z-Tree, it is not possible to use common knowledge about programming, which makes one heavily dependent on the manual, whereas on Brownie, we could find help for new ideas online, for instance on forums, very easily. ","z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice.",background_information,3
crowdfunding,"z - Tree would have been useful for programming simpler settings , such as a standard public goods game , but for the crowdfunding setting we wanted to examine , along with physiological measures , Brownie turned out to be the better choice .","It would have been easier to find someone to program for z-Tree, especially for simpler experiments, but not for programming our experiment, which would have been a bigger challenge. z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice. In addition, on z-Tree, it is not possible to use common knowledge about programming, which makes one heavily dependent on the manual, whereas on Brownie, we could find help for new ideas online, for instance on forums, very easily. ","z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice.",belongs_to_article,1
physiological measures,"z - Tree would have been useful for programming simpler settings , such as a standard public goods game , but for the crowdfunding setting we wanted to examine , along with physiological measures , Brownie turned out to be the better choice .","It would have been easier to find someone to program for z-Tree, especially for simpler experiments, but not for programming our experiment, which would have been a bigger challenge. z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice. In addition, on z-Tree, it is not possible to use common knowledge about programming, which makes one heavily dependent on the manual, whereas on Brownie, we could find help for new ideas online, for instance on forums, very easily. ","z-Tree would have been useful for programming simpler settings, such as a standard public goods game, but for the crowdfunding setting we wanted to examine, along with physiological measures, Brownie turned out to be the better choice.",belongs_to_article,1
algorithms,"z ) cell locations returned from either of the algorithms , a GST morphogenesis change algorithm reduces to a simple counting procedure :","Within the GST-DigiDoc, the amount of morphogenesis change is represented by the total number of units represented within a component or within the c(xy-coordinates) returned by either of the algorithms. Since run-length coding is used for both, counting the total number of morphogenesis units requires a very simple procedure that accounts for the cells not explicitly stored in the structure. If the input xy-coordinates are represented by a run-length encoded list of georeferenced (x, y) or (x, y, z) cell locations returned from either of the algorithms, a GST morphogenesis change algorithm reduces to a simple counting procedure: ","z) cell locations returned from either of the algorithms, a GST morphogenesis change algorithm reduces to a simple counting procedure:",belongs_to_article,1
algorithm,"z ) cell locations returned from either of the algorithms , a GST morphogenesis change algorithm reduces to a simple counting procedure :","Within the GST-DigiDoc, the amount of morphogenesis change is represented by the total number of units represented within a component or within the c(xy-coordinates) returned by either of the algorithms. Since run-length coding is used for both, counting the total number of morphogenesis units requires a very simple procedure that accounts for the cells not explicitly stored in the structure. If the input xy-coordinates are represented by a run-length encoded list of georeferenced (x, y) or (x, y, z) cell locations returned from either of the algorithms, a GST morphogenesis change algorithm reduces to a simple counting procedure: ","z) cell locations returned from either of the algorithms, a GST morphogenesis change algorithm reduces to a simple counting procedure:",belongs_to_article,1
control variable,"z snwd ; z snwd is an exogenous regressor ( e.g. , Google Trends control variable ) ; snwd is the parameter for the influence of the exogenous regressor ; is the parameter for the strength of regressor error dependence ; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior , the probabilities p k have a Dirichlet prior , and K is the number of latent segments for the shows and is empirically determined .","We expect viewerships of shows in the same time slot to be correlated with each other. z snwd ; z snwd is an exogenous regressor (e.g., Google Trends control variable); snwd is the parameter for the influence of the exogenous regressor; is the parameter for the strength of regressor error dependence; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior, the probabilities p k have a Dirichlet prior, and K is the number of latent segments for the shows and is empirically determined. ","z snwd ; z snwd is an exogenous regressor (e.g., Google Trends control variable); snwd is the parameter for the influence of the exogenous regressor; is the parameter for the strength of regressor error dependence; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior, the probabilities p k have a Dirichlet prior, and K is the number of latent segments for the shows and is empirically determined.",belongs_to_article,1
Google,"z snwd ; z snwd is an exogenous regressor ( e.g. , Google Trends control variable ) ; snwd is the parameter for the influence of the exogenous regressor ; is the parameter for the strength of regressor error dependence ; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior , the probabilities p k have a Dirichlet prior , and K is the number of latent segments for the shows and is empirically determined .","We expect viewerships of shows in the same time slot to be correlated with each other. z snwd ; z snwd is an exogenous regressor (e.g., Google Trends control variable); snwd is the parameter for the influence of the exogenous regressor; is the parameter for the strength of regressor error dependence; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior, the probabilities p k have a Dirichlet prior, and K is the number of latent segments for the shows and is empirically determined. ","z snwd ; z snwd is an exogenous regressor (e.g., Google Trends control variable); snwd is the parameter for the influence of the exogenous regressor; is the parameter for the strength of regressor error dependence; and snwd is the latent instrument that has a discrete distribution with K support points 1 k and probabilities p 1 p k , where each k has a normal prior, the probabilities p k have a Dirichlet prior, and K is the number of latent segments for the shows and is empirically determined.",belongs_to_article,1
control variables,"z i;j;t represents a vector of observed hospital - level time - variant control variables , and β m the vector of associated regression coefficients .","wherein, σ 2 t is the error variance of year t (t = 2010, 2011, . . ., 2015) and σ b;bþ1 is the error covariance between two adjacent years (b = 0 stands for 2010, b = 0, 1, . . ., 4). In Eq. 5, i indexes hospital, j indexes healthcare system, and t indexes year. β i;j;0 represents the intercept-a linear combination of the Level-2 intercept (u 0;j;0 ), a vector of observed hospital-level time-invariant control variables (x i;j ) and its regression coefficients (u n ), and unobserved hospital-level random effect (r i;j ). u 0;j;0 is further decomposed into an overall intercept (λ 0;0 ), a vector of observed system-level control variables (w j ) and its regression coefficients (λ p ), and unobserved system-level random effect (ν j ). Q i;j;tÀ 1 represents cumulative partners' experiences for hospital i in system j in year t; its regression coefficient is β 1 . z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients. δ t represents year fixed effects. Finally, ε i;j;t is the random error for hospital i of system j in year t and is modeled as a banded-1 diagonal structure. 3 To examine the differential effects of the hospital-level EHR centralities (ehrR and ehrW) and the system-level interconnectedness (SysehrW and SysehrR) on the relationship between partners' experiences and cost efficiency, we added the within-level and cross-level interactions, respectively, with partners' experiences to the HLM and analyzed the following model: In Eq. 6, β i;j;1 is now a linear combination of the fixed term (λ 0;1 ), system-level interconnectedness for system j (SysehrR i;j and SysehrW i;j ), and their coefficients (λ 1;1 and λ 2;1 , respectively). β 2 and β 3 denote the respective effect of hospital's time-variant centrality on cost efficiency (ehrR i;j;tÀ 1 and ehrW i;j;tÀ 1 ). β 4 and β 5 denote the respective effect of withinlevel interactions between centrality and partners' experiences. All else is as defined in Eq. 6. The HLM model is integrated as follows: Before estimating the model, we grand mean-centered all hospital-level and system-level variables to mitigate multicollinearity [14] . We standardized all variables for better comparisons across the regression coefficients. Next, we used the maximum likelihood method of estimation, which is appropriate for unbalanced data sets like ours. We used Stata 15 [128] for all tests. ","z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients.",belongs_to_article,1
regression coefficients,"z i;j;t represents a vector of observed hospital - level time - variant control variables , and β m the vector of associated regression coefficients .","wherein, σ 2 t is the error variance of year t (t = 2010, 2011, . . ., 2015) and σ b;bþ1 is the error covariance between two adjacent years (b = 0 stands for 2010, b = 0, 1, . . ., 4). In Eq. 5, i indexes hospital, j indexes healthcare system, and t indexes year. β i;j;0 represents the intercept-a linear combination of the Level-2 intercept (u 0;j;0 ), a vector of observed hospital-level time-invariant control variables (x i;j ) and its regression coefficients (u n ), and unobserved hospital-level random effect (r i;j ). u 0;j;0 is further decomposed into an overall intercept (λ 0;0 ), a vector of observed system-level control variables (w j ) and its regression coefficients (λ p ), and unobserved system-level random effect (ν j ). Q i;j;tÀ 1 represents cumulative partners' experiences for hospital i in system j in year t; its regression coefficient is β 1 . z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients. δ t represents year fixed effects. Finally, ε i;j;t is the random error for hospital i of system j in year t and is modeled as a banded-1 diagonal structure. 3 To examine the differential effects of the hospital-level EHR centralities (ehrR and ehrW) and the system-level interconnectedness (SysehrW and SysehrR) on the relationship between partners' experiences and cost efficiency, we added the within-level and cross-level interactions, respectively, with partners' experiences to the HLM and analyzed the following model: In Eq. 6, β i;j;1 is now a linear combination of the fixed term (λ 0;1 ), system-level interconnectedness for system j (SysehrR i;j and SysehrW i;j ), and their coefficients (λ 1;1 and λ 2;1 , respectively). β 2 and β 3 denote the respective effect of hospital's time-variant centrality on cost efficiency (ehrR i;j;tÀ 1 and ehrW i;j;tÀ 1 ). β 4 and β 5 denote the respective effect of withinlevel interactions between centrality and partners' experiences. All else is as defined in Eq. 6. The HLM model is integrated as follows: Before estimating the model, we grand mean-centered all hospital-level and system-level variables to mitigate multicollinearity [14] . We standardized all variables for better comparisons across the regression coefficients. Next, we used the maximum likelihood method of estimation, which is appropriate for unbalanced data sets like ours. We used Stata 15 [128] for all tests. ","z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients.",belongs_to_article,1
hospital,"z i;j;t represents a vector of observed hospital - level time - variant control variables , and β m the vector of associated regression coefficients .","wherein, σ 2 t is the error variance of year t (t = 2010, 2011, . . ., 2015) and σ b;bþ1 is the error covariance between two adjacent years (b = 0 stands for 2010, b = 0, 1, . . ., 4). In Eq. 5, i indexes hospital, j indexes healthcare system, and t indexes year. β i;j;0 represents the intercept-a linear combination of the Level-2 intercept (u 0;j;0 ), a vector of observed hospital-level time-invariant control variables (x i;j ) and its regression coefficients (u n ), and unobserved hospital-level random effect (r i;j ). u 0;j;0 is further decomposed into an overall intercept (λ 0;0 ), a vector of observed system-level control variables (w j ) and its regression coefficients (λ p ), and unobserved system-level random effect (ν j ). Q i;j;tÀ 1 represents cumulative partners' experiences for hospital i in system j in year t; its regression coefficient is β 1 . z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients. δ t represents year fixed effects. Finally, ε i;j;t is the random error for hospital i of system j in year t and is modeled as a banded-1 diagonal structure. 3 To examine the differential effects of the hospital-level EHR centralities (ehrR and ehrW) and the system-level interconnectedness (SysehrW and SysehrR) on the relationship between partners' experiences and cost efficiency, we added the within-level and cross-level interactions, respectively, with partners' experiences to the HLM and analyzed the following model: In Eq. 6, β i;j;1 is now a linear combination of the fixed term (λ 0;1 ), system-level interconnectedness for system j (SysehrR i;j and SysehrW i;j ), and their coefficients (λ 1;1 and λ 2;1 , respectively). β 2 and β 3 denote the respective effect of hospital's time-variant centrality on cost efficiency (ehrR i;j;tÀ 1 and ehrW i;j;tÀ 1 ). β 4 and β 5 denote the respective effect of withinlevel interactions between centrality and partners' experiences. All else is as defined in Eq. 6. The HLM model is integrated as follows: Before estimating the model, we grand mean-centered all hospital-level and system-level variables to mitigate multicollinearity [14] . We standardized all variables for better comparisons across the regression coefficients. Next, we used the maximum likelihood method of estimation, which is appropriate for unbalanced data sets like ours. We used Stata 15 [128] for all tests. ","z i;j;t represents a vector of observed hospital-level time-variant control variables, and β m the vector of associated regression coefficients.",belongs_to_article,1
reflective construct,z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions .,.332 2.481 y The third EXB item was removed from the analysis because of its low loading. z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions.,z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions.,belongs_to_article,1
no significant differences,z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions .,.332 2.481 y The third EXB item was removed from the analysis because of its low loading. z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions.,z We also conducted the analysis by treating intrinsic benefit as a reflective construct and found no significant differences in our conclusions.,related_work,2
P 1,z 1 > z 0 and P 1 < P 0 .,"In Table 1, P 1 and P 0 denote the future and current probability of information systems breaches respectively. The variable z 1 and z 0 denote the target's future and current investment in IS security respectively. The variable M denotes the maximum instant loss in the incident of information systems breaches. The maximum instant loss includes any loss from incursions excluding the cost of security. Subscript 0 denotes the current state. Subscript 1 denotes the future state. z 1 > z 0 and P 1 < P 0 . ",z 1 > z 0 and P 1 < P 0 .,belongs_to_article,1
P 0 .,z 1 > z 0 and P 1 < P 0 .,"In Table 1, P 1 and P 0 denote the future and current probability of information systems breaches respectively. The variable z 1 and z 0 denote the target's future and current investment in IS security respectively. The variable M denotes the maximum instant loss in the incident of information systems breaches. The maximum instant loss includes any loss from incursions excluding the cost of security. Subscript 0 denotes the current state. Subscript 1 denotes the future state. z 1 > z 0 and P 1 < P 0 . ",z 1 > z 0 and P 1 < P 0 .,belongs_to_article,1
email,"ywhenever I went on to that site I got frustrated ( I 've got an email to them about that ) , to the point where I just thought forget it , just go to the local paper - based directory & it was quicker , because of the complications & a lot of them were technical complications and he was always ' Oh yeah , we 're looking into it ; we 're fixing that ; fixing this ( SME in the printing trade ) . ySupport was offered but again it 's the marketing officer who did thatyhere 's a phone number , if you need support you just call the number and that was it . I suppose the problem is that one person is trying to do all the things . Specifically , what should have been set up was some form of help desk that is equally business related , as it is technical . That does n't appear to be there . We ca n't get tender results . Even if its just technical support and stats or tech issuesyThere 's some things that are absolutely fundamentally wrong ( SME in IT business ) .","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business). ","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business).",belongs_to_article,1
SME,"ywhenever I went on to that site I got frustrated ( I 've got an email to them about that ) , to the point where I just thought forget it , just go to the local paper - based directory & it was quicker , because of the complications & a lot of them were technical complications and he was always ' Oh yeah , we 're looking into it ; we 're fixing that ; fixing this ( SME in the printing trade ) . ySupport was offered but again it 's the marketing officer who did thatyhere 's a phone number , if you need support you just call the number and that was it . I suppose the problem is that one person is trying to do all the things . Specifically , what should have been set up was some form of help desk that is equally business related , as it is technical . That does n't appear to be there . We ca n't get tender results . Even if its just technical support and stats or tech issuesyThere 's some things that are absolutely fundamentally wrong ( SME in IT business ) .","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business). ","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business).",belongs_to_article,1
IT,"ywhenever I went on to that site I got frustrated ( I 've got an email to them about that ) , to the point where I just thought forget it , just go to the local paper - based directory & it was quicker , because of the complications & a lot of them were technical complications and he was always ' Oh yeah , we 're looking into it ; we 're fixing that ; fixing this ( SME in the printing trade ) . ySupport was offered but again it 's the marketing officer who did thatyhere 's a phone number , if you need support you just call the number and that was it . I suppose the problem is that one person is trying to do all the things . Specifically , what should have been set up was some form of help desk that is equally business related , as it is technical . That does n't appear to be there . We ca n't get tender results . Even if its just technical support and stats or tech issuesyThere 's some things that are absolutely fundamentally wrong ( SME in IT business ) .","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business). ","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business).",belongs_to_article,1
help desk,"ywhenever I went on to that site I got frustrated ( I 've got an email to them about that ) , to the point where I just thought forget it , just go to the local paper - based directory & it was quicker , because of the complications & a lot of them were technical complications and he was always ' Oh yeah , we 're looking into it ; we 're fixing that ; fixing this ( SME in the printing trade ) . ySupport was offered but again it 's the marketing officer who did thatyhere 's a phone number , if you need support you just call the number and that was it . I suppose the problem is that one person is trying to do all the things . Specifically , what should have been set up was some form of help desk that is equally business related , as it is technical . That does n't appear to be there . We ca n't get tender results . Even if its just technical support and stats or tech issuesyThere 's some things that are absolutely fundamentally wrong ( SME in IT business ) .","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business). ","ywhenever I went on to that site I got frustrated (I've got an email to them about that), to the point where I just thought forget it, just go to the local paper-based directory & it was quicker, because of the complications & a lot of them were technical complications and he was always 'Oh yeah, we're looking into it; we're fixing that; fixing this (SME in the printing trade). ySupport was offered but again it's the marketing officer who did thatyhere's a phone number, if you need support you just call the number and that was it. I suppose the problem is that one person is trying to do all the things. Specifically, what should have been set up was some form of help desk that is equally business related, as it is technical. That doesn't appear to be there. We can't get tender results. Even if its just technical support and stats or tech issuesyThere's some things that are absolutely fundamentally wrong (SME in IT business).",belongs_to_article,1
